"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.506295000E-1,6.472015381E-1,3.608245850E-1,8.518676758E0
2.509102620E-1,9.392852783E-1,1.884460449E-1,9.418899536E0
3.511299880E-1,1.568969727E0,2.123870850E-1,9.773239136E0
4.513802320E-1,1.042236328E0,-2.464294434E-2,1.012518311E1
5.515999590E-1,9.464721680E-1,3.464508057E-1,9.354248047E0
6.518196850E-1,8.866119385E-1,1.884460449E-1,8.592895508E0
7.520699300E-1,1.717407227E0,1.812591553E-1,1.018983459E1
8.523201740E-1,9.177398682E-1,-4.139709473E-2,1.004377747E1
9.525564610E-1,7.525482178E-1,3.057556152E-1,9.033432007E0
1.052776188E0,1.008728027E0,1.501312256E-1,9.485931396E0
1.153026432E0,1.523468018E0,2.578735352E-1,9.241729736E0
1.253276676E0,9.680175781E-1,7.591247559E-2,1.029039001E1
1.353526920E0,9.704132080E-1,1.908416748E-1,9.500305176E0
1.453777164E0,1.185897827E0,2.650604248E-1,8.779647827E0
1.553996891E0,1.387008667E0,1.381683350E-1,9.617614746E0
1.654247135E0,1.063781738E0,-1.874542236E-1,1.008927917E1
1.754466862E0,7.501525879E-1,3.560333252E-1,9.847457886E0
1.854686588E0,1.104492188E0,1.549224854E-1,9.153137207E0
1.954936832E0,1.422912598E0,1.453399658E-1,9.560150146E0
2.055156559E0,1.082946777E0,2.435150146E-1,1.022096252E1
2.155406803E0,6.352233887E-1,1.908416748E-1,9.098068237E0
2.255626530E0,1.013504028E0,1.860504150E-1,9.414108276E0
2.355876774E0,1.667129517E0,1.980133057E-1,9.603256226E0
2.456127018E0,1.047027588E0,-6.294250488E-2,9.768447876E0
2.556346744E0,8.028259277E-1,3.704071045E-1,9.600860596E0
2.656596989E0,9.512634277E-1,4.613800049E-1,8.889785767E0
2.756816715E0,1.655151367E0,-5.097961426E-2,1.007969666E1
2.857066959E0,7.405700684E-1,2.722320557E-1,9.878585815E0
2.957317203E0,9.464721680E-1,6.632995605E-2,9.457199097E0
3.057536930E0,1.030273438E0,2.363281250E-1,9.500305176E0
3.157787174E0,1.343917847E0,2.578735352E-1,9.035827637E0
3.258037418E0,1.059005737E0,1.118316650E-1,1.011322021E1
3.358257145E0,6.687469482E-1,2.291412354E-1,9.552978516E0
3.458507389E0,1.341522217E0,2.219543457E-1,8.863449097E0
3.558727116E0,1.389404297E0,3.129425049E-1,9.536209106E0
3.658977360E0,9.608306885E-1,1.166076660E-1,8.568954468E0
3.759197086E0,1.114074707E0,1.213989258E-1,9.026245117E0
3.859447330E0,1.274475098E0,1.788635254E-1,9.435653687E0
3.959697575E0,9.081726074E-1,7.112121582E-2,1.004139709E1
4.059917301E0,1.085342407E0,1.669006348E-1,9.564941406E0
4.160167545E0,1.097305298E0,3.320922852E-1,9.562545776E0
4.260387272E0,1.377426147E0,2.435150146E-1,9.452423096E0
4.360637516E0,1.080551147E0,2.435150146E-1,9.215393066E0
