Speed [km/h]
29663 0
33065 0
33720 0
38715 0
39344 0
40535 0
41087 0
42472 0
43023 0
47237 0
48010 0
49685 0
50310 0
56530 0
57225 0
58493 0
59108 0
60247 0
60774 0
64099 0
64779 0
69193 0
69730 0
70939 0
71560 0
74801 0
75347 0
79304 0
79886 0
81088 0
81705 0
84996 8
86110 10
92409 0
92993 0
94155 0
94637 0
101028 53
102164 57
103280 63
103800 66
104966 71
105598 74
106761 79
109905 81
111387 93
112238 95
113539 98
114177 100
115403 104
115959 105
117139 108
117799 110
121490 98
124289 66
125511 65
126057 66
127292 66
127988 67
132055 69
132563 69
133740 68
134370 68
135584 68
136126 68
137563 68
138098 68
141781 68
144574 67
145778 67
146390 67
RPM [rev/min]
29577 829
32937 2137
33632 1148
38570 816
39269 809
40385 839
41007 835
42348 812
42948 1870
47104 835
47693 827
49553 808
50230 804
56386 810
57158 816
58362 806
58948 1467
60114 825
60705 832
63956 816
64704 826
68862 817
69654 826
70808 813
71483 811
74671 825
75269 822
79153 827
79805 823
80958 812
81614 1160
84864 1661
86047 1448
92290 836
92818 826
93928 776
94566 834
100910 4691
102093 2694
103159 2982
103713 3115
104844 3371
105522 3515
106641 3737
107207 3843
111160 3107
112161 3200
113417 3310
114008 3367
115280 3486
115890 3546
117026 3655
117720 3716
121358 3314
124203 3151
125379 3035
125978 3116
127160 2287
127899 2262
131822 2310
132488 2315
133618 2307
134292 2302
135453 2303
136044 2303
137334 2295
138012 2298
141649 2286
144490 2285
145657 2277
146229 2280
Fuel Rail Pressure [kPa] (gauge)
32350 28400
34141 45400
39742 28400
41706 28600
46419 29000
48801 28600
50716 28200
57625 28400
59539 64800
63333 28400
65168 28400
70232 28600
71981 27800
78497 28200
80390 28200
82131 76000
89193 82400
93407 27600
95004 60800
102538 118600
104265 130200
105994 143000
110300 121600
112707 130600
114590 136800
116468 142800
118220 149000
124718 63000
126589 62000
128412 78000
133036 90000
134769 92400
136644 92800
141008 94000
144970 89600
146801 89800
EGR [percent] (target)
32449 29.019617
34225 50.196095
39817 44.7059
41773 45.098053
46507 42.352955
49077 46.666683
50804 44.7059
57707 46.666683
59616 48.23531
63490 45.49021
65257 45.882366
70318 46.274525
72063 45.882366
78580 46.274525
80467 45.49021
82221 23.529419
89317 37.254913
93484 42.352955
97907 1.9607849
102618 1.9607849
104348 1.9607849
106072 1.9607849
110385 1.9607849
112779 1.9607849
114672 1.9607849
116538 1.9607849
118298 1.9607849
124804 1.9607849
126673 54.117664
131018 47.450996
133124 38.039227
134845 1.9607849
136728 1.9607849
141102 20.000006
145056 1.9607849
146869 1.9607849
Coolent Temperature [celcius]
29417 97
33456 97
39108 97
40844 97
42804 98
47543 98
49988 98
57003 97
58789 96
60545 96
64438 95
69490 94
71311 93
75104 93
79639 93
81460 93
85286 93
92669 95
94411 95
101954 96
103566 97
105365 98
107051 98
112015 99
113834 99
115717 99
117556 100
121809 100
125807 99
127718 98
132335 98
134136 97
135887 97
137852 96
144310 94
146076 93
Barometric Pressure [kPa] (Absolute)
32527 99
34308 99
39895 99
41860 99
46596 99
49154 99
50879 99
57850 99
59693 99
63574 99
65340 99
70396 99
72141 99
78655 99
80546 99
84331 99
89391 99
93559 99
97981 99
102707 99
104418 99
106237 99
110467 99
113018 99
114758 99
116628 98
118375 98
124881 98
126753 98
131164 98
133200 98
134938 98
136814 98
141188 99
145236 99
146945 99
Intake Manifold Pressure [kPa] (Absolute)
29499 99
33006 117
33543 111
38649 99
39194 99
40464 99
40927 99
42404 99
42872 98
47171 99
47625 99
49629 99
50151 99
56453 99
57080 99
58427 99
58868 98
60180 101
60629 100
64033 99
64612 99
69107 99
69573 99
70873 99
71397 99
74736 99
75190 99
79228 99
79714 99
81023 99
81535 98
84930 117
86004 115
92345 99
92743 99
94092 99
94487 99
100964 213
102014 202
103216 226
103639 226
104910 223
105442 221
106696 219
107127 217
111321 221
112076 221
113483 227
113936 225
115347 224
115811 224
117082 220
117639 220
121423 150
124010 142
125445 142
125894 154
127226 117
127806 114
131991 112
132412 111
133683 112
134208 112
135519 112
135964 112
137496 112
137929 112
141715 111
144401 111
145723 111
146153 111
Intake Air Temperature [celcius]
29752 43
33793 50
39431 42
41253 42
43109 43
48187 43
50388 42
57305 43
59201 43
60857 43
64844 43
69808 43
71638 43
75426 44
79975 44
81786 44
88907 49
93066 42
94709 43
102237 48
103865 46
105676 44
109974 41
112331 40
114257 39
116048 38
117879 38
124374 37
126156 37
128074 34
132640 38
134455 38
136223 39
138175 39
144651 38
146483 38
Mass air flow [grams/sec]
29833 4.3
33883 7.6499996
39526 4.24
41342 4.49
43247 17.67
48402 4.3599997
50471 4.24
57386 4.41
59285 11.83
60939 3.67
64923 4.42
69889 4.47
71726 4.29
75513 4.5099998
80150 4.42
81876 13.809999
88979 13.659999
93173 4.46
94782 9.05
102307 58.52
104039 63.949997
105752 69.67999
110051 51.679996
112409 63.449997
114347 65.86
116135 69.189995
117970 71.079994
124456 35.84
126334 27.559998
128168 15.929999
132714 22.31
134536 24.029999
136399 23.039999
138255 23.33
144732 23.199999
146567 22.89
Calculated Engine Load [percent]
29321 20.000006
33292 0
38952 18.823536
40754 21.568634
42721 38.431385
47468 23.137262
49909 20.392164
56935 22.35295
58708 32.54903
60476 24.70589
64352 20.000006
69411 20.392164
71184 19.215693
75022 20.392164
79556 20.78432
81385 42.352955
85208 35.29413
92590 20.000006
94334 25.88236
101877 89.80395
103483 100.00003
105282 100.00003
106974 100.00003
111938 100.00003
113752 100.00003
115630 100.00003
117471 100.00003
121728 0
125721 26.666676
127634 29.80393
132254 0
133992 0
135808 0
137771 0
144221 0
145999 0
Accelerator Pedal Position D [percent]
32781 19.215693
37411 19.215693
40225 19.215693
42111 19.215693
46928 19.215693
49401 19.215693
51123 29.80393
58179 20.000006
59939 19.215693
63803 19.215693
68570 19.215693
70654 19.215693
74427 19.215693
78893 19.215693
80792 19.215693
84714 30.196089
92092 19.215693
93782 19.215693
98221 83.52944
103005 83.52944
104663 83.52944
106491 83.52944
110856 83.52944
113257 83.52944
115021 83.52944
116858 83.52944
121182 19.215693
125123 33.725502
126997 33.725502
131536 26.274519
133456 19.215693
135295 19.215693
137168 19.215693
141452 23.137262
145494 19.215693
Accelerator Pedal Position E [percent]
32857 9.411768
38474 9.411768
40309 9.411768
42183 9.411768
47012 9.411768
49477 9.411768
53323 15.294123
58268 11.372553
60022 9.411768
63881 9.411768
68769 9.411768
70731 9.411768
74584 9.411768
79057 9.411768
80876 9.411768
84786 14.901965
92214 9.411768
93853 9.411768
98309 41.56864
103080 41.56864
104741 41.56864
106564 41.56864
110950 41.56864
113339 41.56864
115109 41.56864
116942 41.56864
121265 9.411768
125293 18.03922
127082 16.862751
131611 12.156867
133532 9.411768
135369 9.411768
137257 9.411768
141539 11.372553
145571 9.411768
