"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.736092360E-1,1.077270508E-2,-2.177429199E-2,-1.524353027E-2
2.738594800E-1,1.190185547E-3,5.920410156E-3,6.057739258E-3
3.740792070E-1,-4.150390625E-3,8.056640625E-3,1.031494141E-2
4.743294510E-1,1.220703125E-4,2.716064453E-3,-4.592895508E-3
5.745491780E-1,6.515502930E-3,-1.005554199E-2,-1.417541504E-2
6.747994220E-1,1.716613770E-2,-1.432800293E-2,1.351928711E-2
7.750191480E-1,-1.692199707E-2,2.935791016E-2,7.324218750E-4
8.752388750E-1,-4.150390625E-3,-1.325988770E-2,-3.524780273E-3
9.755056800E-1,-3.082275391E-3,-6.866455078E-3,-9.918212891E-3
1.075725407E0,1.077270508E-2,-7.934570312E-3,1.138305664E-2
1.175975651E0,-3.082275391E-3,3.784179688E-3,1.351928711E-2
1.276195377E0,-9.475708008E-3,3.784179688E-3,-2.456665039E-3
1.376476139E0,4.379272461E-3,-9.002685547E-3,-1.950073242E-2
1.476726383E0,8.636474609E-3,-1.325988770E-2,1.458740234E-2
1.576946110E0,3.311157227E-3,5.920410156E-3,1.565551758E-2
1.677196354E0,-2.014160156E-3,6.988525391E-3,-4.592895508E-3
1.777416080E0,-1.052856445E-2,8.056640625E-3,-1.737976074E-2
1.877666325E0,1.823425293E-2,-1.112365723E-2,3.936767578E-3
1.977886051E0,-4.150390625E-3,1.443481445E-2,1.031494141E-2
2.078105778E0,-1.266479492E-2,1.663208008E-3,-9.918212891E-3
2.178356022E0,9.704589844E-3,-1.219177246E-2,-1.950073242E-2
2.278575748E0,4.379272461E-3,5.950927734E-4,1.245117188E-2
2.378825993E0,-5.203247070E-3,1.231384277E-2,7.125854492E-3
2.479076237E0,-6.271362305E-3,1.663208008E-3,-5.661010742E-3
2.579295963E0,-9.460449219E-4,-1.005554199E-2,-1.417541504E-2
2.679546207E0,8.636474609E-3,-1.432800293E-2,2.310180664E-2
2.779796452E0,-8.407592773E-3,1.870727539E-2,-2.456665039E-3
2.880016178E0,-9.475708008E-3,-1.432800293E-2,-3.356933594E-4
