"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.528292500E0,4.092633180E1,2.934251280E1,0.000000000E0,0.000000000E0,0.000000000E0,1.288990021E2,0.000000000E0
4.168370363E0,4.092592129E1,2.934307799E1,1.280467986E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
5.168234478E0,4.092592701E1,2.934307459E1,1.300468167E2,1.500000060E-1,1.779999924E1,1.213599968E1,0.000000000E0
6.167484842E0,4.092593091E1,2.934307865E1,1.300468408E2,3.499999940E-1,2.195000000E2,9.101999283E0,0.000000000E0
7.167303279E0,4.092593143E1,2.934307229E1,1.240468313E2,2.300000042E-1,1.805000000E2,1.061899948E1,0.000000000E0
8.167201768E0,4.092592699E1,2.934307651E1,1.260468202E2,2.199999988E-1,1.501999969E2,9.101999283E0,0.000000000E0
9.168408903E0,4.092592649E1,2.934308509E1,1.290468339E2,2.199999988E-1,1.563999939E2,7.585000038E0,0.000000000E0
1.017079828E1,4.092592849E1,2.934310443E1,1.310468783E2,0.000000000E0,0.000000000E0,6.067999840E0,0.000000000E0
1.116804104E1,4.092592962E1,2.934311460E1,1.310469019E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.216986182E1,4.092592547E1,2.934311991E1,1.300468941E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.317245994E1,4.092592807E1,2.934312376E1,1.300469123E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.417069203E1,4.092593232E1,2.934313157E1,1.320469448E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.516919828E1,4.092593092E1,2.934314221E1,1.310469586E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.616932208E1,4.092593122E1,2.934314725E1,1.320469692E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.716799645E1,4.092593353E1,2.934315228E1,1.320469883E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.817223728E1,4.092593244E1,2.934315557E1,1.310469898E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
1.916951859E1,4.092593372E1,2.934315959E1,1.300470027E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.017135265E1,4.092593537E1,2.934316226E1,1.300470146E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.116944890E1,4.092593515E1,2.934316398E1,1.300470169E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.217062093E1,4.092593567E1,2.934316444E1,1.300470200E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.316784905E1,4.092593538E1,2.934316509E1,1.300470199E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.417059541E1,4.092593528E1,2.934316526E1,1.300470198E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.516927338E1,4.092593521E1,2.934316550E1,1.300470200E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.616870463E1,4.092593551E1,2.934316572E1,1.300470216E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.716907207E1,4.092593539E1,2.934316518E1,1.300470201E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.816860140E1,4.092593540E1,2.934316531E1,1.300470204E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
2.916887077E1,4.092593618E1,2.934316424E1,1.290470218E2,1.500000060E-1,2.001999969E2,4.550999641E0,0.000000000E0
3.016907759E1,4.092594063E1,2.934316480E1,1.270470418E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
3.116779061E1,4.092594268E1,2.934316598E1,1.270470527E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
3.217064280E1,4.092594499E1,2.934316621E1,1.260470630E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
3.317000889E1,4.092594843E1,2.934316153E1,1.260470689E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
3.416753994E1,4.092594982E1,2.934315886E1,1.260470699E2,0.000000000E0,0.000000000E0,4.550999641E0,0.000000000E0
3.516953853E1,4.092594647E1,2.934315839E1,1.260470548E2,4.600000083E-1,1.943999939E2,4.550999641E0,0.000000000E0
3.617012967E1,4.092593988E1,2.934315644E1,1.250470231E2,7.099999785E-1,1.910000000E2,4.550999641E0,0.000000000E0
3.717008285E1,4.092592962E1,2.934315310E1,1.240469732E2,1.210000038E0,1.850000000E2,4.550999641E0,0.000000000E0
3.817054420E1,4.092590909E1,2.934314780E1,1.230468759E2,2.440000057E0,1.871999969E2,4.550999641E0,0.000000000E0
3.916919233E1,4.092588530E1,2.934314154E1,1.230467629E2,2.690000057E0,1.876999969E2,4.550999641E0,0.000000000E0
4.016832379E1,4.092585666E1,2.934313384E1,1.250466266E2,3.089999914E0,1.916999969E2,4.550999641E0,0.000000000E0
4.116784061E1,4.092583005E1,2.934312268E1,1.250464926E2,3.059999943E0,1.981000061E2,4.550999641E0,0.000000000E0
4.216680654E1,4.092581076E1,2.934311325E1,1.240463929E2,2.170000076E0,1.980000000E2,4.550999641E0,0.000000000E0
4.316521587E1,4.092580826E1,2.934311088E1,1.240463779E2,8.299999833E-1,1.971999969E2,4.550999641E0,0.000000000E0
4.416840993E1,4.092580652E1,2.934311006E1,1.220463689E2,6.100000143E-1,1.960000000E2,4.550999641E0,0.000000000E0
