"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.532540120E-1,4.981536865E1,-1.679687500E1,-1.136779785E0
2.538399490E-1,4.951477051E1,-1.696624756E1,-2.037048340E0
3.545174390E-1,4.861602783E1,-1.696624756E1,-2.037048340E0
4.552254470E-1,5.011596680E1,-1.661682129E1,-8.377075195E-1
5.559639730E-1,4.801483154E1,-1.627655029E1,-4.437255859E0
6.566719800E-1,4.801483154E1,-1.592559814E1,-2.037048340E0
7.573799880E-1,5.041503906E1,-1.679687500E1,-1.136779785E0
8.581490310E-1,4.951477051E1,-1.627655029E1,-2.037048340E0
9.602163730E-1,4.891510010E1,-1.661682129E1,-3.237915039E0
1.060466618E0,4.921569824E1,-1.679687500E1,6.622314453E-1
1.160686344E0,4.891510010E1,-1.609649658E1,-2.337646484E0
1.260936588E0,4.921569824E1,-1.679687500E1,-1.737976074E0
1.361644596E0,4.891510010E1,-1.609649658E1,-2.337646484E0
1.462352604E0,4.831542969E1,-1.661682129E1,-4.437255859E0
1.563030094E0,4.951477051E1,-1.627655029E1,-1.437377930E0
1.663768619E0,4.951477051E1,-1.696624756E1,-2.638244629E0
1.764476627E0,4.951477051E1,-1.627655029E1,-2.037048340E0
1.865215153E0,4.891510010E1,-1.661682129E1,-8.377075195E-1
1.967601627E0,4.921569824E1,-1.696624756E1,-3.237915039E0
2.067851871E0,4.951477051E1,-1.679687500E1,-5.371093750E-1
2.168071598E0,4.861602783E1,-1.713562012E1,6.622314453E-1
2.268321842E0,4.981536865E1,-1.661682129E1,-8.377075195E-1
2.368724674E0,4.831542969E1,-1.679687500E1,-5.371093750E-1
2.469432682E0,4.951477051E1,-1.627655029E1,-2.037048340E0
2.570140690E0,4.831542969E1,-1.609649658E1,-2.937316895E0
2.670848698E0,4.921569824E1,-1.696624756E1,-2.037048340E0
2.771556705E0,4.921569824E1,-1.644592285E1,-5.371093750E-1
2.872264713E0,5.041503906E1,-1.731567383E1,-2.380371094E-1
2.972972721E0,4.981536865E1,-1.713562012E1,-2.337646484E0
3.075237125E0,4.951477051E1,-1.627655029E1,-1.437377930E0
3.175456852E0,4.921569824E1,-1.661682129E1,-3.237915039E0
3.275707096E0,4.891510010E1,-1.661682129E1,-1.437377930E0
3.375957340E0,4.891510010E1,-1.609649658E1,-2.937316895E0
3.476512760E0,4.981536865E1,-1.713562012E1,-2.937316895E0
3.577220768E0,4.861602783E1,-1.627655029E1,-1.437377930E0
3.677928776E0,4.921569824E1,-1.609649658E1,-2.937316895E0
3.778636784E0,4.891510010E1,-1.627655029E1,-2.380371094E-1
3.879344791E0,5.011596680E1,-1.731567383E1,-2.037048340E0
3.980052799E0,4.891510010E1,-1.765594482E1,-2.638244629E0
4.080760807E0,4.831542969E1,-1.661682129E1,-3.237915039E0
4.182872623E0,4.891510010E1,-1.696624756E1,-3.837585449E0
4.283092350E0,4.921569824E1,-1.679687500E1,-1.136779785E0
4.383342594E0,4.951477051E1,-1.713562012E1,-2.337646484E0
4.483592838E0,5.011596680E1,-1.679687500E1,-1.136779785E0
4.584300846E0,4.861602783E1,-1.679687500E1,-2.337646484E0
