"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.678344727E0,7.687088013E0,6.110107422E0
1.001892090E-1,-1.246612549E0,7.481185913E0,6.677536011E0
2.003784180E-1,-1.548278809E0,8.256896973E0,4.575424194E0
3.005676270E-1,-1.744613647E0,8.067764282E0,5.272140503E0
4.007873540E-1,5.011444092E-1,7.241760254E0,6.474029541E0
5.009765630E-1,7.740936279E-1,6.947265625E0,6.330383301E0
6.011962900E-1,6.639556885E-1,7.258514404E0,6.538681030E0
7.014160160E-1,5.203094482E-1,7.035858154E0,6.284881592E0
8.016052250E-1,-1.143661499E0,6.578567505E0,6.857101440E0
9.018249520E-1,-1.189147949E0,7.083740234E0,7.295242310E0
1.002014161E0,-1.716156006E-1,7.165145874E0,5.425369263E0
1.102233887E0,2.641296387E-1,5.889038086E0,6.031097412E0
1.202423096E0,-5.115966797E-1,6.166763306E0,1.109243774E1
1.302612305E0,1.087738037E0,6.047058105E0,5.913787842E0
1.402832032E0,-6.744079590E-1,5.601730347E0,7.805206299E0
1.503021241E0,8.171844482E-1,6.238586426E0,8.173919678E0
1.603240967E0,-4.472351074E-2,5.728622437E0,7.750137329E0
1.703430176E0,2.234191895E-1,5.752563477E0,7.759719849E0
1.803649903E0,1.652755737E0,5.091766357E0,7.608886719E0
1.903839112E0,2.306060791E-1,5.800445557E0,7.527481079E0
2.004058838E0,-5.191040039E-2,5.771713257E0,7.410156250E0
2.104248047E0,1.396331787E-1,5.541870117E0,7.685501099E0
2.204467774E0,-1.121520996E-2,5.869888306E0,8.183486938E0
2.304656983E0,3.263702393E-1,6.207458496E0,6.809219360E0
2.404876709E0,-1.883850098E-1,6.011138916E0,8.087722778E0
2.505065918E0,-5.044097900E-1,5.563430786E0,7.596908569E0
2.605285645E0,-5.594787598E-1,6.035079956E0,8.070968628E0
2.705474854E0,-1.931610107E-1,5.948883057E0,7.616058350E0
2.805694581E0,7.669067383E-1,6.190704346E0,7.654373169E0
2.905883790E0,-2.099304199E-1,6.406188965E0,7.383819580E0
3.006072999E0,-6.528472900E-1,6.209854126E0,8.396575928E0
3.106292725E0,-9.425506592E-1,6.528289795E0,7.221023560E0
3.206481934E0,-2.147216797E-1,5.757354736E0,8.703033447E0
3.254058839E0,-4.189086914E0,8.046203613E0,4.199539185E0
