"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.978515700E-2,-1.122894287E1,-1.459045410E1,-2.214050293E1
1.304931650E-1,-1.602935791E1,-1.320037842E1,-2.093963623E1
2.312011720E-1,-1.602935791E1,-1.423950195E1,-1.974029541E1
3.333129890E-1,-1.812896729E1,-1.441040039E1,-1.824035645E1
4.335021980E-1,-1.812896729E1,-1.147003174E1,-1.854095459E1
5.337219240E-1,-1.812896729E1,-1.094970703E1,-1.824035645E1
6.340332040E-1,-1.902923584E1,-9.739685059E0,-2.033996582E1
7.347412110E-1,-1.662902832E1,-1.128997803E1,-1.943969727E1
8.354797370E-1,-1.662902832E1,-1.181030273E1,-2.093963623E1
9.361572270E-1,-1.692962646E1,-1.181030273E1,-1.914062500E1
1.036865235E0,-1.662902832E1,-1.128997803E1,-1.884002686E1
1.137573243E0,-1.692962646E1,-1.268005371E1,-1.884002686E1
1.238311768E0,-1.932983398E1,-1.007995605E1,-2.033996582E1
1.340393067E0,-1.782989502E1,-1.112060547E1,-1.854095459E1
1.440582276E0,-1.873016357E1,-1.060028076E1,-2.124023438E1
1.540771485E0,-1.782989502E1,-1.094970703E1,-1.824035645E1
1.641143799E0,-1.782989502E1,-9.559631348E0,-2.004089355E1
1.741851807E0,-1.873016357E1,-9.739685059E0,-1.974029541E1
1.842529297E0,-1.812896729E1,-9.039306641E0,-2.154083252E1
1.943237305E0,-1.723022461E1,-8.700561523E0,-2.033996582E1
2.043945313E0,-1.873016357E1,-8.869934082E0,-2.243957520E1
2.144653321E0,-1.873016357E1,-9.910583496E0,-2.124023438E1
2.245361329E0,-1.812896729E1,-8.869934082E0,-2.304077148E1
2.347412110E0,-1.873016357E1,-8.520507812E0,-2.124023438E1
2.447601319E0,-1.902923584E1,-8.180236816E0,-2.304077148E1
2.547821045E0,-1.842956543E1,-9.390258789E0,-1.914062500E1
2.648193360E0,-1.812896729E1,-9.219360352E0,-1.943969727E1
2.748901368E0,-1.962890625E1,-1.026000977E1,-2.064056396E1
2.849609375E0,-1.873016357E1,-1.060028076E1,-1.824035645E1
2.950317383E0,-1.782989502E1,-9.910583496E0,-1.884002686E1
3.051055909E0,-1.692962646E1,-8.869934082E0,-2.064056396E1
3.151733399E0,-1.692962646E1,-1.007995605E1,-2.214050293E1
3.254241944E0,-1.723022461E1,-1.007995605E1,-2.033996582E1
3.254241944E0,-3.729248047E0,-2.203063965E1,-1.943969727E1
3.354980470E0,-5.828857422E0,-1.943969727E1,-2.214050293E1
3.457122804E0,-5.529785156E0,-1.977996826E1,-1.974029541E1
3.557342530E0,-4.629516602E0,-1.961059570E1,-2.124023438E1
3.657531739E0,-3.430175781E0,-2.012939453E1,-2.093963623E1
3.757781983E0,2.270507812E0,-2.098999023E1,-1.943969727E1
3.858489991E0,1.670837402E0,-1.891937256E1,-2.004089355E1
3.959197999E0,-5.229187012E0,-1.701049805E1,-2.154083252E1
4.059875489E0,-9.729003906E0,-1.717987061E1,-1.764068604E1
4.160614015E0,-1.362915039E1,-1.459045410E1,-1.614074707E1
4.261322022E0,-1.723022461E1,-1.094970703E1,-1.524047852E1
4.362060548E0,-2.112884521E1,-5.589294434E0,-1.614074707E1
4.464172364E0,-2.292938232E1,-1.950073242E0,-1.764068604E1
4.564392091E0,-2.442932129E1,-9.094238281E-1,-1.884002686E1
4.664581300E0,-2.202911377E1,1.170349121E0,-2.304077148E1
4.764831544E0,-1.782989502E1,4.980468750E0,-2.783966064E1
4.865570069E0,-1.272888184E1,6.880187988E0,-2.933959961E1
4.966278077E0,-6.430053711E0,1.087036133E1,-3.384094238E1
5.066986085E0,-4.029846191E0,1.484985352E1,-3.173980713E1
5.167694093E0,-5.828857422E0,1.831054688E1,-2.994079590E1
5.268402101E0,-1.930236816E0,2.039031982E1,-3.173980713E1
5.369140626E0,1.370239258E0,2.126007080E1,-3.204040527E1
5.471252442E0,5.270385742E0,2.315979004E1,-3.414001465E1
5.571472169E0,1.097106934E1,2.611083984E1,-2.964019775E1
5.671661378E0,1.367034912E1,2.749023438E1,-3.023986816E1
5.771942140E0,1.397094727E1,3.285980225E1,-2.814025879E1
5.872650147E0,1.547088623E1,3.858032227E1,-2.723999023E1
5.973358155E0,2.117004395E1,3.614959717E1,-3.264007568E1
6.074066163E0,3.137054443E1,2.749023438E1,-3.444061279E1
6.174855386E0,3.377075195E1,1.918029785E1,-3.804016113E1
6.275502359E0,3.467102051E1,1.849060059E1,-3.744049072E1
6.376210367E0,3.437042236E1,1.831054688E1,-3.654022217E1
6.478322183E0,3.527069092E1,1.883087158E1,-3.744049072E1
6.578541909E0,3.197021484E1,2.628021240E1,-4.194030762E1
6.678731118E0,2.566986084E1,2.835998535E1,-5.274047852E1
6.779042398E0,1.307067871E1,3.321075439E1,-6.954040527E1
6.879750406E0,-1.842956543E1,3.269042969E1,-9.864044189E1
6.980458413E0,-2.262878418E1,2.870025635E1,-1.097396851E2
7.081166421E0,-2.532958984E1,3.130035400E1,-1.124404907E2
7.181874429E0,-2.442932129E1,3.009033203E1,-1.109405518E2
7.282582437E0,-2.832946777E1,2.194976807E1,-1.202407837E2
