"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,5.634002686E-1,2.530822754E-1,9.663101196E0
1.001892090E-1,9.632263184E-1,3.632202148E-1,9.239334106E0
2.003784180E-1,1.011123657E0,3.368835449E-1,9.880981445E0
3.005371090E-1,8.937988281E-1,2.482910156E-1,9.768447876E0
4.006958010E-1,6.567687988E-1,2.530822754E-1,9.823516846E0
5.008850100E-1,8.339385986E-1,3.225097656E-1,9.210601807E0
6.010742190E-1,9.584503174E-1,2.770233154E-1,9.943222046E0
7.012329100E-1,9.392852783E-1,2.506866455E-1,9.861831665E0
8.014221190E-1,4.987640381E-1,3.081512451E-1,9.550582886E0
9.015808100E-1,1.118850708E0,4.254608154E-1,9.368621826E0
1.001770019E0,9.608306885E-1,2.626647949E-1,9.914505005E0
1.101928711E0,8.267669678E-1,2.411193848E-1,9.744506836E0
1.202117920E0,5.466461182E-1,2.315368652E-1,9.507476807E0
1.302276611E0,1.063781738E0,3.560333252E-1,9.356643677E0
1.402465820E0,9.392852783E-1,1.860504150E-1,1.005096436E1
1.502624512E0,7.597198486E-1,2.746276855E-1,9.730148315E0
1.602813721E0,6.663513184E-1,2.315368652E-1,9.615219116E0
1.702972412E0,9.129486084E-1,3.249053955E-1,9.315948486E0
1.803161621E0,1.006332397E0,2.985687256E-1,9.895339966E0
1.903320312E0,8.602752686E-1,2.866058350E-1,9.770843506E0
2.003509521E0,5.442504883E-1,2.985687256E-1,9.428482056E0
2.103668213E0,1.073364258E0,4.517974854E-1,9.423690796E0
2.203857422E0,9.560546875E-1,1.812591553E-1,9.991119385E0
2.304016113E0,7.956390381E-1,3.033599854E-1,9.718170166E0
2.404205322E0,6.352233887E-1,3.105468750E-1,9.603256226E0
2.504364014E0,1.051818848E0,3.273010254E-1,9.308761597E0
2.604553223E0,9.871673584E-1,2.602691650E-1,1.003181458E1
2.704742431E0,7.573242188E-1,2.147827148E-1,9.694229126E0
2.804901123E0,6.208648682E-1,3.057556152E-1,9.447631836E0
2.905090332E0,1.152374268E0,3.440704346E-1,9.469177246E0
3.005279541E0,9.512634277E-1,1.453399658E-1,9.914505005E0
3.105438232E0,8.291625977E-1,2.219543457E-1,9.703811646E0
3.205596924E0,5.777587891E-1,3.392791748E-1,9.507476807E0
3.305786133E0,1.037445068E0,3.344879150E-1,9.426086426E0
3.405944824E0,9.608306885E-1,3.033599854E-1,1.006773376E1
3.506134033E0,5.825500488E-1,2.315368652E-1,9.617614746E0
3.606292724E0,7.645111084E-1,2.913970947E-1,9.320739746E0
3.706481933E0,1.090118408E0,3.464508057E-1,9.617614746E0
3.806671142E0,9.321136475E-1,1.477355957E-1,9.890548706E0
3.906829834E0,6.950836182E-1,2.674560547E-1,9.763656616E0
4.007019043E0,7.645111084E-1,3.392791748E-1,9.241729736E0
4.107177734E0,1.094909668E0,2.794189453E-1,9.928863525E0
4.207366943E0,8.890075684E-1,2.052001953E-1,9.847457886E0
4.307525635E0,6.591644287E-1,2.770233154E-1,9.706207275E0
4.407714844E0,7.022705078E-1,3.009643555E-1,9.445236206E0
4.507873535E0,1.006332397E0,3.344879150E-1,9.588882446E0
4.608062744E0,9.368896484E-1,2.818145752E-1,9.979141235E0
4.708251953E0,5.657958984E-1,2.171783447E-1,9.612823486E0
4.808410644E0,1.008728027E0,3.440704346E-1,9.232147217E0
4.908599853E0,1.027877808E0,2.482910156E-1,9.957595825E0
5.008758545E0,8.746490479E-1,2.123870850E-1,9.778030396E0
5.108917236E0,6.831054688E-1,2.578735352E-1,9.679870605E0
5.209106445E0,8.052215576E-1,3.440704346E-1,9.260879517E0
5.309265137E0,1.042236328E0,2.842102051E-1,9.888168335E0
5.409454346E0,8.578948975E-1,2.506866455E-1,9.837890625E0
5.509643555E0,5.921325684E-1,2.147827148E-1,9.608047485E0
5.609802246E0,9.536590576E-1,4.182891846E-1,9.296798706E0
5.709960937E0,1.032669067E0,2.794189453E-1,1.003181458E1
5.810150146E0,8.914031982E-1,2.674560547E-1,9.785217285E0
5.910339355E0,6.208648682E-1,2.578735352E-1,9.641555786E0
6.010498047E0,1.092514038E0,2.913970947E-1,9.284820557E0
6.110687256E0,9.321136475E-1,2.698364258E-1,1.007969666E1
6.210845947E0,7.693023682E-1,2.075958252E-1,9.593673706E0
6.311004639E0,6.088867188E-1,2.842102051E-1,9.519454956E0
6.411193848E0,1.075759888E0,3.727874756E-1,9.402145386E0
6.511383056E0,9.991455078E-1,1.836547852E-1,9.952804565E0
6.611541748E0,8.076019287E-1,2.890014648E-1,9.773239136E0
6.711730957E0,6.112823486E-1,2.866058350E-1,9.442840576E0
6.811889648E0,1.159561157E0,3.440704346E-1,9.469177246E0
