"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.294921900E-2,3.112792969E-3,-1.506042480E-2,-9.567260742E-3
1.231384280E-1,-3.280639648E-3,-1.220703125E-3,9.613037109E-3
2.233276370E-1,-1.144409180E-3,5.172729492E-3,9.613037109E-3
3.234863280E-1,-7.537841797E-3,3.036499023E-3,1.083374023E-3
4.236450190E-1,9.918212891E-4,-8.682250977E-3,-7.431030273E-3
5.238342280E-1,2.044677734E-3,-6.546020508E-3,4.287719727E-3
6.239929200E-1,-2.212524414E-3,8.361816406E-3,6.408691406E-3
7.241821290E-1,-7.629394531E-5,-1.525878906E-4,-1.063537598E-2
8.243408200E-1,3.112792969E-3,-1.400756836E-2,1.525878906E-5
9.245300290E-1,9.918212891E-4,6.240844727E-3,4.287719727E-3
1.024688721E0,-7.629394531E-5,8.361816406E-3,7.476806641E-3
1.124877930E0,-7.537841797E-3,3.036499023E-3,-9.567260742E-3
1.225067139E0,2.044677734E-3,-1.719665527E-2,-3.173828125E-3
1.325225830E0,-7.629394531E-5,1.263427734E-2,3.219604492E-3
1.425384521E0,-1.144409180E-3,8.361816406E-3,4.287719727E-3
1.525573730E0,-4.348754883E-3,-1.525878906E-4,-7.431030273E-3
1.625732422E0,5.249023438E-3,-6.546020508E-3,-8.499145508E-3
1.725921631E0,9.918212891E-4,-2.288818359E-3,6.408691406E-3
1.826110840E0,-1.144409180E-3,1.049804688E-2,4.287719727E-3
1.926269531E0,-2.212524414E-3,-1.220703125E-3,-7.431030273E-3
2.026428223E0,2.044677734E-3,-1.612854004E-2,2.151489258E-3
2.126647949E0,-7.629394531E-5,1.156616211E-2,5.340576172E-3
2.226806640E0,-1.144409180E-3,4.104614258E-3,5.340576172E-3
2.326965332E0,-6.469726562E-3,-3.356933594E-3,-2.105712891E-3
2.427124023E0,2.044677734E-3,-1.080322266E-2,-4.241943359E-3
2.527313232E0,9.918212891E-4,7.308959961E-3,2.151489258E-3
2.627471924E0,-3.280639648E-3,7.308959961E-3,4.287719727E-3
2.727661133E0,-2.212524414E-3,-7.614135742E-3,-1.275634766E-2
2.827819824E0,2.044677734E-3,-9.735107422E-3,2.151489258E-3
2.928009033E0,2.044677734E-3,1.370239258E-2,6.408691406E-3
3.028228760E0,2.044677734E-3,1.049804688E-2,1.083374023E-3
