"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.307861000E-3,5.386199951E1,1.156463623E1,6.294250488E0
1.100158690E-1,5.386199951E1,1.173553467E1,5.995178223E0
2.107238770E-1,5.476226807E1,1.139526367E1,7.194519043E0
3.132324220E-1,5.446166992E1,1.191558838E1,6.294250488E0
4.133911130E-1,5.446166992E1,1.104431152E1,7.794189453E0
5.135498050E-1,5.416259766E1,1.191558838E1,6.294250488E0
6.137390140E-1,5.296173096E1,1.208496094E1,5.393981934E0
7.142639160E-1,5.446166992E1,1.173553467E1,5.995178223E0
8.149719240E-1,5.416259766E1,1.139526367E1,7.194519043E0
9.157104490E-1,5.476226807E1,1.104431152E1,8.393859863E0
1.016387939E0,5.446166992E1,1.139526367E1,5.995178223E0
1.117095947E0,5.446166992E1,1.122436523E1,8.694458008E0
1.217803955E0,5.386199951E1,1.139526367E1,5.995178223E0
1.319976806E0,5.296173096E1,1.225433350E1,6.294250488E0
1.420135498E0,5.416259766E1,1.122436523E1,6.893920898E0
1.520324707E0,5.386199951E1,1.225433350E1,5.094909668E0
1.620635986E0,5.416259766E1,1.208496094E1,5.393981934E0
1.721343994E0,5.386199951E1,1.173553467E1,7.194519043E0
1.822052002E0,5.506134033E1,1.122436523E1,8.094787598E0
1.922760010E0,5.386199951E1,1.139526367E1,5.995178223E0
2.023468017E0,5.446166992E1,1.156463623E1,6.893920898E0
2.124176025E0,5.386199951E1,1.173553467E1,5.393981934E0
2.226562500E0,5.416259766E1,1.122436523E1,5.694580078E0
2.326721191E0,5.416259766E1,1.191558838E1,6.294250488E0
2.426910400E0,5.536193848E1,1.070556641E1,7.794189453E0
2.527069092E0,5.476226807E1,1.139526367E1,5.393981934E0
2.627716064E0,5.446166992E1,1.139526367E1,5.995178223E0
2.728424072E0,5.356140137E1,1.191558838E1,5.694580078E0
2.829132080E0,5.386199951E1,1.225433350E1,5.694580078E0
2.929840088E0,5.476226807E1,1.139526367E1,6.594848633E0
3.030517578E0,5.416259766E1,1.173553467E1,4.794311523E0
3.131256103E0,5.416259766E1,1.243438721E1,6.594848633E0
3.233306885E0,5.506134033E1,1.173553467E1,7.194519043E0
3.333496094E0,5.416259766E1,1.156463623E1,5.694580078E0
3.433654785E0,5.386199951E1,1.191558838E1,6.294250488E0
3.534088135E0,5.506134033E1,1.104431152E1,7.794189453E0
3.634796142E0,5.386199951E1,1.208496094E1,4.194641113E0
3.735504150E0,5.446166992E1,1.139526367E1,5.995178223E0
3.836242676E0,5.416259766E1,1.139526367E1,7.194519043E0
3.936920166E0,5.386199951E1,1.225433350E1,5.694580078E0
4.037658691E0,5.446166992E1,1.139526367E1,7.194519043E0
4.139862060E0,5.386199951E1,1.173553467E1,5.393981934E0
4.240081787E0,5.446166992E1,1.104431152E1,6.594848633E0
4.340270996E0,5.446166992E1,1.208496094E1,6.594848633E0
4.440460205E0,5.446166992E1,1.139526367E1,7.194519043E0
4.541168213E0,5.416259766E1,1.156463623E1,6.893920898E0
4.641876221E0,5.446166992E1,1.208496094E1,4.794311523E0
4.742584228E0,5.446166992E1,1.139526367E1,5.995178223E0
4.843292236E0,5.386199951E1,1.087493896E1,6.893920898E0
4.944030762E0,5.446166992E1,1.156463623E1,6.893920898E0
5.046478271E0,5.356140137E1,1.156463623E1,6.294250488E0
5.146667480E0,5.506134033E1,1.070556641E1,7.794189453E0
5.246826172E0,5.446166992E1,1.139526367E1,5.995178223E0
5.347015381E0,5.356140137E1,1.156463623E1,7.495117188E0
5.447540283E0,5.416259766E1,1.070556641E1,6.594848633E0
5.548248291E0,5.386199951E1,1.225433350E1,5.694580078E0
5.648956299E0,5.446166992E1,1.156463623E1,8.694458008E0
5.749664306E0,5.386199951E1,1.243438721E1,5.995178223E0
5.850372314E0,5.416259766E1,1.139526367E1,7.194519043E0
5.951080322E0,5.416259766E1,1.173553467E1,5.995178223E0
6.053222656E0,5.386199951E1,1.225433350E1,5.694580078E0
6.153411865E0,5.506134033E1,1.104431152E1,6.594848633E0
6.253601074E0,5.476226807E1,1.104431152E1,5.393981934E0
6.353912353E0,5.506134033E1,1.087493896E1,7.495117188E0
6.454620361E0,5.326232910E1,1.312561035E1,5.995178223E0
6.555328369E0,5.476226807E1,1.052551270E1,7.495117188E0
6.656036377E0,5.506134033E1,1.070556641E1,7.794189453E0
6.756744385E0,5.356140137E1,1.243438721E1,4.794311523E0
6.857452392E0,5.386199951E1,1.191558838E1,3.894042969E0
6.959808349E0,5.416259766E1,1.052551270E1,7.495117188E0
7.059997558E0,5.476226807E1,1.139526367E1,6.594848633E0
7.160156250E0,5.386199951E1,1.156463623E1,6.294250488E0
7.260284424E0,5.416259766E1,1.156463623E1,7.495117188E0
7.360992431E0,5.506134033E1,1.104431152E1,6.594848633E0
7.461700439E0,5.356140137E1,1.191558838E1,3.894042969E0
7.562412868E0,5.386199951E1,1.208496094E1,5.393981934E0
7.663120876E0,5.356140137E1,1.277465820E1,7.194519043E0
7.763828884E0,5.416259766E1,1.122436523E1,6.893920898E0
7.864536892E0,5.416259766E1,1.208496094E1,5.393981934E0
7.966587673E0,5.386199951E1,1.139526367E1,7.194519043E0
8.066746364E0,5.446166992E1,1.122436523E1,6.893920898E0
