"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.296875000E-2,-4.568481445E-1,-1.508163452E0,4.507446289E-1
1.431579590E-1,4.763183594E-1,-7.113342285E-1,1.695098877E-1
2.433776860E-1,-1.085052490E-1,-1.091644287E0,6.192016602E-2
3.435668950E-1,-4.430084229E-1,-6.048126221E-1,3.761749268E-1
4.437561040E-1,-5.495300293E-1,-1.499481201E-1,1.013336182E-1
5.439758310E-1,-9.678649902E-2,2.369689941E-2,-3.343505859E-1
6.441650400E-1,4.063415527E-2,-1.083984375E-1,7.044982910E-2
7.443847660E-1,-5.204772949E-2,2.910766602E-1,-4.589843750E-1
8.446044930E-1,9.176635742E-2,2.165069580E-1,1.801757812E-1
9.447937020E-1,2.504882812E-1,3.006591797E-1,1.460876465E-1
1.045013428E0,-7.867431641E-2,-1.030731201E-1,-7.324218750E-3
1.145202637E0,-8.552551270E-1,-1.488800049E-1,-1.426086426E-1
1.245422364E0,5.200042725E-1,7.482910156E-2,1.812286377E-1
1.345611573E0,-1.127777100E-1,-2.607269287E-1,-6.697082520E-2
1.445831299E0,1.220703125E-3,1.184997559E-1,3.793792725E-1
1.546020508E0,-1.370239258E-2,4.606628418E-2,-1.998901367E-3
1.646209717E0,3.530883789E-2,-1.785278320E-2,-7.550048828E-2
1.746429444E0,-1.660308838E-1,5.520629883E-1,3.250427246E-1
1.846618653E0,-2.435302734E-2,6.905517578E-1,-8.934020996E-2
1.946838379E0,-2.033233643E-1,1.504516602E-1,-1.372833252E-1
2.047027588E0,-1.117095947E-1,1.409912109E-2,4.275512695E-2
2.147247315E0,1.931762695E-2,5.458068848E-2,-2.969360352E-2
2.247436524E0,4.489135742E-2,2.262878418E-2,-1.998901367E-3
2.347656250E0,-1.202239990E-1,4.179382324E-2,-8.508300781E-2
2.447845459E0,1.290435791E-1,-3.693847656E-1,-4.685821533E-1
2.548065186E0,-2.725524902E-1,-4.301147461E-1,-1.383514404E-1
2.648254395E0,6.086730957E-2,3.434753418E-2,-7.762145996E-2
2.748474122E0,2.291870117E-1,-3.321075439E-1,1.822967529E-1
2.848663331E0,2.025451660E-1,1.611175537E-1,-2.116394043E-2
2.948852540E0,-4.781494141E-1,1.493988037E-1,1.034698486E-1
3.049072266E0,1.525878906E-4,3.326110840E-1,6.512451172E-2
3.149261475E0,-9.039306641E-2,2.527160645E-1,-6.697082520E-2
3.249481202E0,6.052246094E-1,-2.404937744E-1,-8.934020996E-2
3.277008058E0,-3.290252686E-1,-1.659240723E-1,2.143859863E-2
3.377227784E0,-4.792175293E-1,-4.235839844E-2,-2.235717773E-1
3.477416993E0,-5.484619141E-1,3.656463623E-1,-2.256927490E-1
3.577636720E0,4.624786377E-1,1.201873779E0,6.405639648E-2
3.677825929E0,-8.377075195E-3,2.062606812E0,3.708496094E-1
3.778015138E0,-1.795959473E-2,2.220260620E0,-8.712463379E-1
3.878234864E0,-7.732391357E-1,-1.437850952E0,1.824935913E0
3.978454591E0,-7.867431641E-2,-2.438140869E0,6.989593506E-1
4.078643800E0,-6.269836426E-2,-1.201370239E0,6.435546875E-1
4.178863526E0,-3.343505859E-1,-6.857757568E-1,1.691772461E0
4.279052735E0,-1.872589111E0,-1.355819702E0,8.555450439E-1
4.379272462E0,-1.130096436E0,-1.883132935E0,1.039840698E0
4.479461671E0,-3.865356445E-1,1.238250732E-1,2.909545898E-1
4.579681397E0,3.303833008E-1,8.567352295E-1,9.471588135E-1
4.679870606E0,-7.753601074E-1,1.230636597E0,9.439697266E-1
4.780059815E0,-1.305862427E0,1.379776001E0,1.173248291E-1
4.880279542E0,-5.995941162E-1,2.272460938E0,-5.292968750E-1
4.980499269E0,-9.713745117E-1,3.294219971E-1,-2.033233643E-1
5.080688478E0,-6.997375488E-1,-4.791107178E-1,4.380798340E-2
5.180877687E0,-6.880187988E-1,-4.663238525E-1,2.632598877E-1
5.281097413E0,-1.191558838E-1,5.478057861E-1,9.386444092E-1
5.381317140E0,2.185211182E-1,4.615173340E-1,8.981628418E-1
5.481506349E0,-9.340820312E-1,4.082489014E-1,1.037704468E0
5.581726075E0,4.486236572E-1,7.992095947E-1,8.353118896E-1
5.681915284E0,-1.138626099E0,-3.489685059E-2,2.057342529E-1
5.782135011E0,-1.023574829E0,-1.155563354E0,4.411621094E-1
5.882324220E0,2.038574219E-2,4.179382324E-2,1.108016968E0
5.982543946E0,9.354553223E-1,6.926727295E-1,3.439880371E0
6.082763673E0,1.588745117E-1,4.103851318E-1,2.280868530E0
6.182973062E0,-8.222351074E-1,-5.089416504E-1,7.724609375E-1
6.283223306E0,-2.967834473E-2,7.376098633E-2,-6.256103516E-3
6.383381997E0,-3.500366211E-2,6.652832031E-3,-1.370239258E-2
6.483571206E0,-8.720397949E-2,5.032348633E-2,-4.653778076E-1
6.583790933E0,-7.655334473E-2,-2.639312744E-1,-1.114120483E0
6.683980142E0,5.661010742E-2,-1.254425049E-1,-1.734924316E-1
6.784199868E0,-1.468658447E-1,1.621704102E-1,-4.760284424E-1
6.884389077E0,1.567382812E-1,-2.022674561E0,-9.254455566E-2
6.984608804E0,-9.445190430E-3,1.516723633E-2,-7.324218750E-3
7.084798013E0,1.525878906E-4,1.516723633E-2,-6.256103516E-3
7.185017740E0,9.735107422E-3,1.304626465E-2,-7.324218750E-3
7.285206949E0,-5.172729492E-3,6.950378418E-2,3.303680420E-1
7.385426675E0,-1.798858643E-1,-1.925506592E-1,-2.009582520E-2
7.485615884E0,1.080322266E-2,-4.661560059E-2,-3.820800781E-2
7.585835611E0,9.735107422E-3,-4.013061523E-3,-5.187988281E-3
7.686055337E0,-9.155273438E-4,1.304626465E-2,-6.256103516E-3
7.786244546E0,5.477905273E-3,-1.252746582E-2,-7.324218750E-3
7.886433755E0,1.220703125E-3,5.584716797E-3,-5.187988281E-3
7.986653482E0,-5.172729492E-3,-4.013061523E-3,-9.307861328E-4
8.086873208E0,6.546020508E-3,-1.359558105E-2,-1.264953613E-2
8.187062417E0,3.341674805E-3,3.448486328E-3,1.373291016E-4
8.287282144E0,-9.155273438E-4,5.584716797E-3,-8.377075195E-3
8.387471353E0,-1.263427734E-2,-1.998901367E-2,-1.904296875E-2
8.487660562E0,-7.308959961E-3,-6.134033203E-3,-2.330017090E-2
8.587880288E0,9.735107422E-3,-5.065917969E-3,-2.436828613E-2
8.688069497E0,-1.477050781E-2,-2.105712891E-2,-2.648925781E-2
8.788289224E0,2.273559570E-3,-1.145935059E-2,-2.862548828E-2
8.888478433E0,-6.240844727E-3,1.409912109E-2,-2.542114258E-2
8.988698159E0,-6.240844727E-3,-4.013061523E-3,-2.116394043E-2
9.088917886E0,-8.377075195E-3,-5.065917969E-3,-2.436828613E-2
9.189107095E0,-3.051757812E-3,-1.876831055E-3,-1.797485352E-2
9.289326822E0,1.080322266E-2,-9.338378906E-3,-1.051330566E-2
9.389546548E0,-7.308959961E-3,-8.270263672E-3,-1.477050781E-2
