"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.254478230E-1,-2.678344727E0,4.600952148E0,5.849136353E0
2.256675490E-1,-2.120498657E0,3.904235840E0,8.959213257E0
3.258567580E-1,-6.049652100E-1,3.346389771E0,9.435653687E0
4.260764850E-1,1.528259277E0,1.833251953E0,9.955200195E0
5.262656940E-1,1.568969727E0,1.541168213E0,8.600082397E0
6.264854200E-1,1.539916992E-1,4.141265869E0,7.537048340E0
7.266746290E-1,-2.985076904E-1,3.427795410E0,1.076683044E1
8.268943560E-1,-2.985076904E-1,4.665603638E0,5.513961792E0
9.271140820E-1,-1.512374878E0,5.283294678E0,9.746902466E0
1.027333809E0,-2.072616577E0,3.571441650E0,1.139651489E1
1.127553536E0,-1.045501709E0,6.224227905E0,3.893081665E0
1.227773262E0,-3.985580444E0,6.399002075E0,6.316009521E0
1.327962471E0,-3.233810425E0,6.360687256E0,7.920135498E0
1.428212715E0,-1.076629639E0,6.363082886E0,5.506774902E0
1.528401924E0,-2.565826416E0,5.407806396E0,8.296020508E0
1.628621651E0,-6.720123291E-1,3.820449829E0,9.342285156E0
1.728871895E0,-1.430969238E0,4.380691528E0,8.997512817E0
1.829030586E0,-1.205917358E0,4.866714478E0,8.228973389E0
1.929250313E0,-1.378295898E0,5.046279907E0,6.816406250E0
2.029470039E0,-1.308868408E0,4.785308838E0,7.472412109E0
2.129689766E0,-4.472351074E-2,4.653625488E0,8.542617798E0
2.229878975E0,-1.677566528E0,4.814041138E0,7.821960449E0
2.330098702E0,2.110061646E0,3.710311890E0,9.093292236E0
2.430318428E0,8.818359375E-1,4.189147949E0,8.595291138E0
2.530538155E0,8.216857910E-2,5.051071167E0,6.842742920E0
2.630757881E0,-2.058242798E0,5.850723267E0,8.248138428E0
2.730977608E0,-3.487854004E-1,4.924179077E0,9.327911377E0
2.831197334E0,-1.217880249E0,4.397445679E0,6.433334351E0
2.931386543E0,2.306060791E-1,3.834808350E0,9.112442017E0
3.031606270E0,-8.587493896E-1,3.408645630E0,8.997512817E0
3.131825996E0,-3.655548096E-1,3.221893311E0,9.373413086E0
3.232045723E0,-1.692199707E-1,3.238647461E0,6.632049561E0
3.332265450E0,-7.055206299E-1,3.054306030E0,9.833099365E0
3.553223920E0,-4.586532593E0,5.443710327E0,7.005538940E0
3.653443647E0,-2.833969116E0,5.142044067E0,6.581771851E0
3.753693891E0,-5.283508301E-1,5.039093018E0,7.108489990E0
3.853883100E0,8.554992676E-1,2.999237061E0,8.456436157E0
3.954072309E0,-1.859893799E-1,3.391876221E0,1.027363586E1
4.054292035E0,7.501525879E-1,2.946563721E0,8.743728638E0
4.154511762E0,-5.355377197E-1,3.762985229E0,1.019462585E1
4.254731488E0,-6.073608398E-1,3.942550659E0,8.403762817E0
4.354951215E0,-8.443908691E-1,4.222671509E0,7.824356079E0
4.455170942E0,-6.169433594E-1,4.600952148E0,7.790847778E0
4.555360151E0,-5.211791992E-1,4.641662598E0,8.312774658E0
4.655610395E0,-7.345581055E-2,4.730239868E0,7.441284180E0
4.755799604E0,-4.711914062E-2,4.979232788E0,8.209823608E0
4.856019330E0,-8.303833008E-2,4.948120117E0,8.094909668E0
4.956239057E0,-2.602081299E-1,4.883468628E0,8.401367188E0
5.056458783E0,-2.530212402E-1,4.770950317E0,8.171524048E0
5.156647992E0,7.629394531E-4,4.991210938E0,7.989562988E0
5.256867719E0,-8.543395996E-2,4.842773438E0,7.989562988E0
5.357117963E0,-1.788024902E-1,4.684753418E0,8.257705688E0
5.457307172E0,-5.191040039E-2,4.761367798E0,8.449249268E0
5.557526899E0,6.539916992E-2,4.773330688E0,7.843521118E0
5.657746625E0,-3.276062012E-2,4.725448608E0,7.984771729E0
5.757935834E0,1.276550293E-1,4.476455688E0,8.355865479E0
5.858155561E0,-1.189422607E-1,4.694335938E0,8.276870728E0
5.958375287E0,-1.213378906E-1,4.416595459E0,8.367843628E0
6.058595014E0,-6.313018799E-1,4.507583618E0,8.264892578E0
6.158814740E0,-6.624298096E-1,4.158020020E0,8.315170288E0
6.259034467E0,3.622894287E-1,4.478851318E0,7.692672729E0
6.359254194E0,-5.355377197E-1,4.454910278E0,8.296020508E0
6.459473920E0,-9.425506592E-1,4.404632568E0,8.327148438E0
6.559663129E0,-7.438354492E-1,4.536315918E0,8.377426147E0
6.659882856E0,-5.690612793E-1,4.603347778E0,7.984771729E0
6.760102582E0,-1.038314819E0,4.423782349E0,8.178695679E0
6.860322309E0,-3.727264404E-1,4.275344849E0,9.430862427E0
6.960542035E0,-2.961120605E-1,4.785308838E0,7.218627930E0
7.060761762E0,-6.025695801E-1,4.469268799E0,7.431716919E0
7.160981488E0,-6.217346191E-1,4.636871338E0,8.255310059E0
7.261170697E0,-4.086456299E-1,4.715881348E0,8.195465088E0
7.361420942E0,-6.408843994E-1,4.493209839E0,7.601699829E0
7.461610151E0,-7.055206299E-1,4.500396729E0,8.334320068E0
7.561829877E0,-6.983489990E-1,4.612930298E0,7.932098389E0
7.662049604E0,-6.720123291E-1,4.232254028E0,8.312774658E0
