"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.383567580E-1,-2.040283203E0,-1.492828369E0,-7.000274658E-1
2.385764850E-1,-1.590744019E0,-1.388427734E0,-4.337158203E-1
3.387656940E-1,-1.100311279E-1,-1.516265869E0,3.833465576E-1
4.389854200E-1,-4.328002930E-1,3.245239258E-1,5.921325684E-1
5.392051470E-1,1.185333252E0,6.994934082E-1,-1.759185791E-1
6.393943560E-1,6.680297852E-2,-2.880096436E-1,9.571838379E-2
7.396140820E-1,1.004241943E0,3.703308105E-1,1.553802490E-1
8.398338090E-1,2.525329590E-2,1.222534180E0,-1.164474487E0
9.400535360E-1,2.276611328E-1,-5.905456543E-1,4.672241211E-2
1.040242745E0,1.039398193E0,7.144012451E-1,3.982543945E-1
1.140462471E0,2.841186523E-1,1.046768188E0,-5.402374268E-1
1.240682198E0,6.132812500E-1,4.875030518E-1,5.175781250E-1
1.340901924E0,-3.997802734E-1,1.625976562E-1,-1.080322266E-2
1.441152168E0,-6.437225342E-1,-5.000000000E-1,-1.759185791E-1
1.541341377E0,-5.052490234E-1,-9.932098389E-1,-1.247863770E-1
1.641530586E0,-1.251998901E0,-7.588500977E-1,-3.804473877E-1
1.741780830E0,4.982299805E-1,2.517700195E-2,1.649627686E-1
1.841970039E0,8.384704590E-2,-1.101074219E-1,2.542114258E-2
1.942189766E0,-1.590270996E-1,-1.165008545E-1,9.359741211E-2
2.042378975E0,1.264648438E-1,-2.688293457E-1,1.053161621E-1
2.142598702E0,-6.682281494E-1,-5.788269043E-1,-1.077423096E-1
2.242818428E0,-7.214965820E-1,-6.001281738E-1,1.043807983E0
2.343038155E0,3.565521240E-1,1.487426758E-1,3.141021729E-1
2.443288399E0,1.019149780E0,6.025543213E-1,-1.801757812E-1
2.543447090E0,-1.526336670E-1,6.398315430E-1,-1.961517334E-1
2.643697334E0,1.360473633E-1,-6.129150391E-1,1.181030273E-1
2.743886543E0,-7.459869385E-1,-1.452636719E-1,-9.495544434E-2
2.844106270E0,-2.602386475E-1,-2.560577393E-1,1.809539795E-1
2.944325996E0,-1.020828247E0,3.980255127E-1,-2.004241943E-1
3.044545723E0,5.508422852E-2,-3.061218262E-1,-2.643280029E-1
3.144765450E0,-2.154846191E-1,6.888427734E-1,1.477050781E-2
3.244954659E0,-8.978271484E-2,5.492858887E-1,1.745605469E-1
3.345174385E0,1.492126465E0,-4.147796631E-1,7.015991211E-2
3.541108442E0,-1.125228882E0,-1.187088013E0,9.999084473E-2
3.641328168E0,-6.848144531E-2,-4.541931152E-1,-1.599426270E-1
3.741547895E0,-2.762145996E-1,-2.901458740E-1,-2.057495117E-1
3.841737104E0,-1.183822632E0,-9.665832520E-1,5.410003662E-1
3.941956830E0,-4.008483887E-1,7.357025146E-1,6.038513184E-1
4.042176557E0,1.413726807E-1,4.754638672E-2,3.854827881E-1
4.142396283E0,4.130096436E-1,1.121337891E0,-3.293151855E-1
4.242616010E0,9.130859375E-2,2.456817627E-1,7.229614258E-2
4.342835737E0,3.011627197E-1,-2.443389893E-1,3.500366211E-2
4.443024945E0,3.171386719E-1,-2.176971436E-1,4.885864258E-2
4.543244672E0,1.285858154E-1,-2.102508545E-1,9.678649902E-2
4.643464399E0,3.373870850E-1,-1.271514893E-1,2.967834473E-2
4.743684125E0,-8.233642578E-2,1.508789062E-1,-1.931762695E-2
4.843873334E0,1.147460938E-1,-9.732055664E-2,1.902770996E-2
4.944123578E0,-2.799987793E-2,-1.742553711E-2,1.795959473E-2
5.044312787E0,-1.057739258E-1,4.542541504E-2,-6.512451172E-2
5.144532514E0,-1.628112793E-2,1.878356934E-2,-1.292419434E-2
5.244752240E0,6.680297852E-2,-5.046081543E-2,2.754211426E-2
5.344971967E0,-9.191894531E-2,-2.488708496E-2,-5.873107910E-2
5.445191694E0,-4.718017578E-2,1.739501953E-3,-1.506042480E-2
5.545411420E0,3.057861328E-2,-4.653930664E-3,2.116394043E-2
5.645600629E0,6.466674805E-2,-7.815551758E-2,3.607177734E-2
5.745820356E0,-2.693176270E-2,1.040039062E-1,2.221679688E-2
5.846040082E0,-1.132202148E-1,3.370666504E-2,1.902770996E-2
5.946259809E0,-1.110992432E-1,2.126617432E-1,-6.546020508E-3
6.046479535E0,-8.834838867E-3,2.254486084E-1,3.074645996E-2
6.146699262E0,7.106018066E-2,9.548950195E-2,-2.571105957E-2
6.246888471E0,6.680297852E-2,7.098388672E-2,8.187866211E-2
6.347138715E0,2.223358154E-1,-8.241271973E-2,1.255493164E-1
6.447327924E0,-1.628112793E-2,-1.449584961E-3,1.795959473E-2
6.547547651E0,-1.095581055E-2,-7.843017578E-3,-3.742980957E-2
6.647767377E0,2.099609375E-2,7.524108887E-2,3.181457520E-2
6.747987104E0,-1.416015625E-2,2.073364258E-1,-5.873107910E-2
6.848176313E0,-9.617614746E-2,3.287811279E-1,-1.119995117E-1
6.948426557E0,3.057861328E-2,-3.753662109E-1,1.127777100E-1
7.048615766E0,1.221923828E-1,1.008148193E-1,-9.735107422E-3
7.148835492E0,1.445617676E-1,-1.250305176E-1,-3.742980957E-2
7.249055219E0,-2.346649170E-1,1.114654541E-1,2.542114258E-2
7.349274945E0,1.466979980E-1,-3.433990479E-1,-8.110046387E-2
7.449494672E0,-2.267456055E-2,2.659301758E-1,-2.677917480E-2
7.549714399E0,6.147766113E-2,-2.485961914E-1,-1.130676270E-1
7.649903608E0,6.254577637E-2,2.838134766E-2,4.119873047E-3
7.750123334E0,-2.314758301E-1,4.353027344E-1,-3.849792480E-2
7.850343061E0,1.992797852E-2,7.844543457E-2,3.926086426E-2
7.950562787E0,-1.760711670E-1,2.424926758E-1,-7.598876953E-3
8.050782514E0,-9.405517578E-2,1.349029541E-1,8.720397949E-2
8.151002240E0,4.017639160E-2,3.096008301E-1,-2.038574219E-2
8.251221967E0,-1.202392578E-2,2.701873779E-1,-5.021667480E-2
8.351411176E0,-1.416015625E-2,1.242523193E-1,4.353332520E-2
8.451661420E0,-5.783081055E-2,-3.039855957E-1,-9.176635742E-2
8.551850629E0,9.877014160E-2,-1.644439697E-1,-7.472229004E-2
8.652100873E0,2.952575684E-2,-1.316833496E-2,3.500366211E-2
8.752290082E0,1.248168945E-2,8.270263672E-2,-2.145385742E-2
8.852509809E0,-1.771392822E-1,3.234558105E-1,-6.619262695E-2
8.952729535E0,7.629394531E-4,-9.838867188E-2,1.902770996E-2
9.052949262E0,1.232604980E-1,-9.519958496E-2,1.937255859E-1
9.153138471E0,2.819824219E-1,-3.178405762E-1,2.075805664E-1
9.253358197E0,1.957092285E-1,-3.679046631E-1,4.779052734E-2
9.353577924E0,1.887512207E-2,-9.094238281E-2,6.590270996E-2
9.453797651E0,1.168670654E-1,-8.880615234E-2,5.630493164E-2
9.554017377E0,5.020141602E-3,-1.761627197E-1,1.138305664E-1
9.654237104E0,-4.292297363E-2,1.739501953E-3,3.051757812E-3
9.754456830E0,-3.013610840E-2,2.808380127E-1,-7.598876953E-3
9.854676557E0,1.914367676E-1,3.511505127E-1,1.010589600E-1
9.954865766E0,-1.270751953E-1,-2.443389893E-1,1.607055664E-1
1.005508549E1,7.000732422E-2,-6.011962891E-1,9.678649902E-2
1.015530522E1,-6.315612793E-2,-3.380737305E-1,-1.258544922E-1
1.025552495E1,1.626739502E-1,-1.814880371E-1,-1.506042480E-2
1.035574467E1,-8.766174316E-2,-4.653930664E-3,2.435302734E-2
1.045595370E1,-5.889892578E-2,6.713867188E-4,-4.063415527E-2
1.055614291E1,-2.693176270E-2,-2.809143066E-2,-4.914855957E-2
1.065636264E1,-4.562377930E-3,-2.702331543E-2,-1.506042480E-2
1.075658236E1,3.910827637E-2,-1.849365234E-2,-4.409790039E-3
1.085680209E1,-4.078674316E-2,1.519470215E-1,-8.216857910E-2
1.095699130E1,-8.020019531E-2,1.508789062E-1,-6.300354004E-2
1.105721102E1,-7.594299316E-2,-1.449584961E-3,-9.495544434E-2
1.115743075E1,-1.867218018E-1,2.520751953E-1,-1.056060791E-1
1.125765048E1,3.256683350E-1,-2.091827393E-1,6.269836426E-2
1.135787020E1,-1.877899170E-1,9.016418457E-2,-6.546020508E-3
