"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.574810677E0,4.105357510E1,2.901135230E1,0.000000000E0,0.000000000E0,0.000000000E0,1.522500038E1,0.000000000E0
4.848373592E0,4.105355720E1,2.901135720E1,0.000000000E0,0.000000000E0,0.000000000E0,1.491699982E1,0.000000000E0
2.508903588E1,4.105360410E1,2.901132650E1,0.000000000E0,0.000000000E0,0.000000000E0,2.046800041E1,0.000000000E0
4.307535524E1,4.105342853E1,2.901094162E1,1.268814832E2,0.000000000E0,0.000000000E0,7.433300018E1,0.000000000E0
4.407218082E1,4.105345874E1,2.901093632E1,1.358815753E2,0.000000000E0,0.000000000E0,7.129899597E1,0.000000000E0
4.507084811E1,4.105345608E1,2.901095647E1,1.318816086E2,0.000000000E0,0.000000000E0,5.612899780E1,0.000000000E0
4.607055118E1,4.105347485E1,2.901097393E1,1.328817096E2,0.000000000E0,0.000000000E0,4.702700043E1,0.000000000E0
4.706974686E1,4.105359126E1,2.901114354E1,1.308824647E2,0.000000000E0,0.000000000E0,3.640799713E1,0.000000000E0
4.807193790E1,4.105365879E1,2.901120783E1,1.298828309E2,0.000000000E0,0.000000000E0,2.275499916E1,0.000000000E0
4.907203128E1,4.105370940E1,2.901127429E1,1.308831439E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.007292227E1,4.105372576E1,2.901127940E1,1.278832106E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.107086826E1,4.105373818E1,2.901126111E1,1.288832145E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.207551706E1,4.105374607E1,2.901127116E1,1.258832627E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
5.307256076E1,4.105374717E1,2.901126837E1,1.278832606E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
5.406927232E1,4.105375148E1,2.901127222E1,1.278832834E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.507145232E1,4.105375110E1,2.901127226E1,1.278832822E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.607098878E1,4.105374081E1,2.901126193E1,1.278832253E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.707331555E1,4.105373754E1,2.901126041E1,1.268832109E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
5.807078300E1,4.105373492E1,2.901125697E1,1.268831947E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
5.907010133E1,4.105373394E1,2.901123632E1,1.288831478E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
6.007033368E1,4.105373427E1,2.901123649E1,1.288831493E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
6.107133951E1,4.105373405E1,2.901123586E1,1.278831472E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
6.207187914E1,4.105373412E1,2.901123561E1,1.278831470E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
6.307143612E1,4.105373440E1,2.901123585E1,1.278831484E2,0.000000000E0,0.000000000E0,2.123799896E1,0.000000000E0
6.407170024E1,4.105373371E1,2.901122063E1,1.298831140E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
6.507201206E1,4.105373717E1,2.901099310E1,1.338826466E2,5.579999924E0,2.383999939E2,1.972099876E1,0.000000000E0
6.607107201E1,4.105372137E1,2.901081824E1,1.418822243E2,5.989999771E0,2.331000061E2,1.972099876E1,0.000000000E0
6.707074086E1,4.105367709E1,2.901081871E1,1.318820739E2,5.400000095E0,2.313000031E2,1.972099876E1,0.000000000E0
6.807106617E1,4.105362348E1,2.901075957E1,1.318817661E2,5.789999962E0,2.346000061E2,2.123799896E1,0.000000000E0
6.907180362E1,4.105357677E1,2.901072303E1,1.318815295E2,5.539999962E0,2.351999969E2,2.123799896E1,0.000000000E0
7.007162081E1,4.105352688E1,2.901071874E1,1.308813500E2,4.769999981E0,2.283999939E2,2.427199936E1,0.000000000E0
7.107146065E1,4.105350757E1,2.901072260E1,1.308812921E2,3.039999962E0,2.243999939E2,2.730599976E1,0.000000000E0
7.206931445E1,4.105348669E1,2.901066648E1,1.328811026E2,2.779999971E0,2.216000061E2,2.882299995E1,0.000000000E0
7.307076747E1,4.105344831E1,2.901064441E1,1.328809249E2,2.920000076E0,2.130000000E2,2.578899956E1,0.000000000E0
7.407036789E1,4.105339897E1,2.901063051E1,1.358807271E2,3.230000019E0,1.858999939E2,2.578899956E1,0.000000000E0
7.507388586E1,4.105336032E1,2.901061850E1,1.358805697E2,3.210000038E0,1.815000000E2,2.427199936E1,0.000000000E0
7.607679362E1,4.105326812E1,2.901058921E1,1.418801929E2,3.210000038E0,1.778000031E2,2.123799896E1,0.000000000E0
7.707576622E1,4.105327254E1,2.901056055E1,1.418801477E2,2.490000010E0,1.920000000E2,1.972099876E1,0.000000000E0
7.807284705E1,4.105330156E1,2.901054664E1,1.428802176E2,1.230000019E0,1.833999939E2,1.972099876E1,0.000000000E0
7.907486757E1,4.105328736E1,2.901054603E1,1.418801678E2,8.399999738E-1,1.983000031E2,1.972099876E1,0.000000000E0
8.007157789E1,4.105325306E1,2.901053107E1,1.428800191E2,1.080000043E0,2.140000000E2,1.820399857E1,0.000000000E0
8.107164851E1,4.105329708E1,2.901051296E1,1.438801314E2,9.800000191E-1,2.533999939E2,1.820399857E1,0.000000000E0
8.207366825E1,4.105326919E1,2.901051052E1,1.408800309E2,9.399999976E-1,2.373999939E2,1.972099876E1,0.000000000E0
8.307413830E1,4.105326619E1,2.901048469E1,1.398799663E2,6.499999762E-1,2.368000031E2,1.820399857E1,0.000000000E0
8.407252143E1,4.105324620E1,2.901046176E1,1.408798497E2,6.299999952E-1,2.536000061E2,1.820399857E1,0.000000000E0
8.507412054E1,4.105321057E1,2.901046055E1,1.348797254E2,4.000000060E-1,1.306999969E2,1.820399857E1,0.000000000E0
8.607254054E1,4.105321878E1,2.901048731E1,1.328798098E2,1.190000057E0,7.509999847E1,1.820399857E1,0.000000000E0
8.707246679E1,4.105323804E1,2.901053374E1,1.308799734E2,1.610000014E0,4.450000000E1,1.820399857E1,0.000000000E0
