"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.597800980E-1,-1.620483398E1,1.997070312E1,-3.377990723E1
2.604881060E-1,-2.310485840E1,2.551116943E1,-3.018035889E1
3.611961140E-1,-2.520446777E1,2.725067139E1,-2.537994385E1
4.619346390E-1,-2.550506592E1,2.933197021E1,-2.537994385E1
5.639854200E-1,-2.520446777E1,2.777099609E1,-2.808074951E1
6.642051470E-1,-2.370452881E1,2.517089844E1,-2.837982178E1
7.644248730E-1,-2.340545654E1,2.517089844E1,-3.137969971E1
8.647361530E-1,-2.160491943E1,2.101135254E1,-3.318023682E1
9.654441610E-1,-2.040557861E1,2.188110352E1,-3.168029785E1
1.066152168E0,-1.950531006E1,2.015075684E1,-3.288116455E1
1.166860176E0,-1.680450439E1,1.668090820E1,-3.527984619E1
1.267568184E0,-1.410522461E1,1.564178467E1,-3.588104248E1
1.368276192E0,-1.050415039E1,1.408081055E1,-3.498077393E1
1.468984200E0,-1.530456543E1,1.582183838E1,-3.498077393E1
1.571157051E0,-1.830444336E1,1.997070312E1,-3.498077393E1
1.671346260E0,-2.250518799E1,2.396087646E1,-3.168029785E1
1.771535469E0,-2.220458984E1,2.240142822E1,-3.137969971E1
1.871816231E0,-2.340545654E1,2.344055176E1,-3.377990723E1
1.972524239E0,-2.280426025E1,2.222137451E1,-3.288116455E1
2.073232246E0,-2.340545654E1,2.257080078E1,-3.348083496E1
2.173940254E0,-2.520446777E1,2.396087646E1,-3.108062744E1
2.274648262E0,-2.610473633E1,2.621154785E1,-2.718048096E1
2.375356270E0,-2.730560303E1,2.950134277E1,-2.808074951E1
2.476064278E0,-2.580413818E1,2.638092041E1,-3.048095703E1
2.578298164E0,-2.340545654E1,2.413177490E1,-2.958068848E1
2.678517891E0,-2.310485840E1,2.413177490E1,-3.078002930E1
2.778707100E0,-2.460479736E1,2.621154785E1,-3.137969971E1
2.878926827E0,-2.430419922E1,2.673187256E1,-3.108062744E1
2.979604317E0,-2.340545654E1,2.950134277E1,-3.108062744E1
3.080312325E0,-2.460479736E1,2.794189453E1,-2.718048096E1
3.181020332E0,-2.370452881E1,2.811126709E1,-2.687988281E1
3.281728340E0,-2.310485840E1,2.863159180E1,-2.718048096E1
3.382436348E0,-2.430419922E1,2.707061768E1,-2.928009033E1
3.560914350E0,-1.680450439E1,1.945190430E1,-3.408050537E1
3.661103559E0,-2.100524902E1,2.205047607E1,-3.318023682E1
3.761536908E0,-2.310485840E1,2.170104980E1,-3.198089600E1
3.862275434E0,-2.760467529E1,2.621154785E1,-3.078002930E1
3.962983442E0,-2.580413818E1,2.967071533E1,-2.658081055E1
4.063691449E0,-2.490539551E1,3.002166748E1,-2.837982178E1
4.164399457E0,-2.430419922E1,2.915191650E1,-2.928009033E1
4.265107465E0,-2.340545654E1,2.811126709E1,-3.108062744E1
4.367616010E0,-2.340545654E1,2.655181885E1,-3.137969971E1
4.467835737E0,-2.340545654E1,2.621154785E1,-3.198089600E1
4.568055463E0,-2.340545654E1,2.482147217E1,-2.898101807E1
4.668275190E0,-2.490539551E1,2.448120117E1,-3.078002930E1
4.768647504E0,-2.310485840E1,2.413177490E1,-3.078002930E1
4.869355512E0,-2.280426025E1,2.309112549E1,-2.958068848E1
4.970063520E0,-2.340545654E1,2.361145020E1,-2.808074951E1
5.070771528E0,-2.340545654E1,2.482147217E1,-3.137969971E1
5.171479535E0,-2.310485840E1,2.448120117E1,-3.018035889E1
5.272187543E0,-2.370452881E1,2.430114746E1,-3.048095703E1
5.372895551E0,-2.370452881E1,2.517089844E1,-3.137969971E1
5.475007367E0,-2.310485840E1,2.586059570E1,-3.198089600E1
5.575227094E0,-2.370452881E1,2.534179688E1,-3.108062744E1
5.675416303E0,-2.280426025E1,2.517089844E1,-3.198089600E1
5.775727582E0,-2.340545654E1,2.534179688E1,-2.987976074E1
5.876435590E0,-2.220458984E1,2.465057373E1,-2.928009033E1
5.977143598E0,-2.310485840E1,2.534179688E1,-2.987976074E1
6.077851606E0,-2.250518799E1,2.586059570E1,-3.137969971E1
6.178559613E0,-2.100524902E1,2.465057373E1,-3.048095703E1
6.279267621E0,-2.100524902E1,2.482147217E1,-3.018035889E1
6.379975629E0,-2.160491943E1,2.448120117E1,-3.018035889E1
6.482178998E0,-2.040557861E1,2.500152588E1,-3.288116455E1
6.582368207E0,-2.070465088E1,2.482147217E1,-3.198089600E1
6.682587934E0,-2.190551758E1,2.655181885E1,-3.258056641E1
6.782807660E0,-2.100524902E1,2.465057373E1,-3.048095703E1
6.883515668E0,-1.950531006E1,2.500152588E1,-3.168029785E1
6.984223676E0,-2.070465088E1,2.569122314E1,-3.227996826E1
7.084931684E0,-2.100524902E1,2.413177490E1,-3.078002930E1
7.185639692E0,-2.070465088E1,2.517089844E1,-3.258056641E1
7.286347699E0,-2.010498047E1,2.413177490E1,-3.078002930E1
7.387086225E0,-2.250518799E1,2.534179688E1,-3.168029785E1
7.489350629E0,-2.160491943E1,2.517089844E1,-3.078002930E1
7.589570356E0,-2.220458984E1,2.603149414E1,-3.108062744E1
7.689759565E0,-2.130432129E1,2.517089844E1,-3.078002930E1
7.789979291E0,-2.040557861E1,2.517089844E1,-3.137969971E1
7.890595746E0,-2.010498047E1,2.673187256E1,-3.348083496E1
