"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Redmi Note 4"
"deviceBrand","xiaomi"
"deviceBoard","msm8953"
"deviceManufacturer","Xiaomi"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","7.0"
"accelerometer Name","BMI160 Accelerometer"
"accelerometer Vendor","BOSCH"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","2062500"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","156.9064"
"linear_acceleration Resolution","0.0023956299"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0799866"
"linear_acceleration Version","2"
"gyroscope Name","BMI160 Gyroscope"
"gyroscope Vendor","BOSCH"
"gyroscope Range","34.906586"
"gyroscope Resolution","0.0010681152"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","2062500"
"magnetic_field Name","YAS537 Magnetometer"
"magnetic_field Vendor","Yamaha"
"magnetic_field Range","2000.0"
"magnetic_field Resolution","0.30059814"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","0.28"
"magnetic_field Version","35193090"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","LTR579 ALSPS"
"light Vendor","LiteOn"
"light Range","10000.0"
"light Resolution","0.01499939"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.1"
"light Version","1"
"proximity Name","LTR579 ALSPS"
"proximity Vendor","LiteOn"
"proximity Range","5.000305"
"proximity Resolution","0.0"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.15"
"proximity Version","2"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.1799927"
"attitude Version","2"
